2022-Mar-14 09:12:07.141280 INFO    [daemon] 

 
                           .===;========.__, 
                           (/__)___________| 
     L___________,--,--/ /-,-,-/ /-,   ________ 
=====)o o o o ======== )) ____,===,___7_/_,_,_,_,'---,-, 
     `--._,_,_,-,--,--'' (____| _ |___ oo ; ; ; ; ; ;_____ T| 
              `-'--'-/_,-------| ) ___--,__,------._  __  |I| 
                        ==----/    / )/--/_         `-._`-'I| 
                       /=[  ]/     ` ==.- -             `-.L| 
                      /==---/            - -  
                      '-.__/              __7 

 2ACoin v2.1.4.145 ()
 This software is distributed under the General Public License v3.0

 Copyright 2018-2021, 2ACoin Developers

 Additional Copyright(s) may apply, please see the included LICENSE file for more information.
 If you did not receive a copy of the LICENSE, please visit:
 https://github.com/2acoin/2acoin/blob/master/LICENSE


2022-Mar-14 09:14:10.710008 INFO    [Core] Block 4900 (af2067d9269c0557aede813eeb420344a79fd48d3accde1b225e4f2b16e86cfd) added to main chain
2022-Mar-14 09:14:14.305917 INFO    [checkpoints] CHECKPOINT PASSED FOR INDEX 5000 f4925e32a226889b515e82f904ab1d0f1d2bfe762b25f9d0ad827bdc08a2b422
2022-Mar-14 09:14:14.308089 INFO    [Core] Block 5000 (f4925e32a226889b515e82f904ab1d0f1d2bfe762b25f9d0ad827bdc08a2b422) added to main chain
2022-Mar-14 09:14:16.496582 INFO    [Core] Block 5100 (502ffe8ffd6c0dbf0d92066db5f3a96cf712d01e863cf8be988439b690e6feb7) added to main chain
2022-Mar-14 09:14:18.394853 INFO    [Core] Block 5200 (af29cb4a73e7acaeb2693fa063cbd67c70bddcf00c80b585012b283152d7af98) added to main chain
2022-Mar-14 09:14:20.553836 INFO    [Core] Block 5300 (17db29e133de22142777e668ec512c0421e4e01665935f0b9ba0ed50eaae61d2) added to main chain
2022-Mar-14 09:14:22.202732 INFO    [Core] Block 5400 (107b4a27f87a09dc67a6a7712e71b9361c4f58b2c28537eecf6078e524882285) added to main chain
2022-Mar-14 09:14:24.392682 INFO    [Core] Block 5500 (bb6ef874c1724b36a65910df4617699ba82374715421e8034c4aae099b9bb40a) added to main chain
2022-Mar-14 09:14:26.298223 INFO    [Core] Block 5600 (78edd224bbeb696960010ee022a9a714e3c44d8a634e0dbb0ac1f449c2b38976) added to main chain
2022-Mar-14 09:14:27.997385 INFO    [Core] Block 5700 (c104ea9c5cdd2032b6a24295f9b65bb18a7a4b1a638edb0a931f2bab90006a04) added to main chain
2022-Mar-14 09:14:29.902994 INFO    [Core] Block 5800 (0e37f38ec8d312a3c78bf07a39b755f5382843ebfbd50d8b7d8b20f71cde2a70) added to main chain
2022-Mar-14 09:14:31.191807 INFO    [protocol] [95.179.141.4:17890 OUT] Your 2ACoin node is syncing with the network (0.47% complete) You are 1247568 blocks (1299 days) behind the current peer you're connected to. Please be patient! 
